Time,Ax,Ay,Az,Roll,Pitch,Yaw
5770485,0.095703125,-0.6845703125,-0.00634765625,0.095703125,-0.6845703125,-0.00634765625
5770495,0.0947265625,-0.6845703125,-0.0068359375,0.0947265625,-0.6845703125,-0.0068359375
5770505,0.09375,-0.68505859375,-0.0078125,0.09375,-0.68505859375,-0.0078125
5770515,0.0927734375,-0.68505859375,-0.00830078125,0.0927734375,-0.68505859375,-0.00830078125
5770535,0.091796875,-0.68603515625,-0.00927734375,0.091796875,-0.68603515625,-0.00927734375
5770545,0.0888671875,-0.68798828125,-0.01171875,0.091796875,-0.68603515625,-0.00927734375
5770555,0.0869140625,-0.68896484375,-0.013671875,0.0888671875,-0.68798828125,-0.01171875
5770565,0.08544921875,-0.6904296875,-0.015625,0.08544921875,-0.6904296875,-0.015625
5770575,0.083984375,-0.69140625,-0.017578125,0.083984375,-0.69140625,-0.017578125
5770585,0.08203125,-0.69287109375,-0.01953125,0.08203125,-0.69287109375,-0.01953125
5770595,0.080078125,-0.6943359375,-0.02197265625,0.080078125,-0.6943359375,-0.02197265625
5770605,0.07861328125,-0.69580078125,-0.02392578125,0.07861328125,-0.69580078125,-0.02392578125
5770615,0.0771484375,-0.69677734375,-0.025390625,0.0771484375,-0.69677734375,-0.025390625
5770635,0.0751953125,-0.697265625,-0.02685546875,0.0751953125,-0.697265625,-0.02685546875
5770645,0.072265625,-0.6982421875,-0.02978515625,0.0751953125,-0.697265625,-0.02685546875
5770655,0.07080078125,-0.69873046875,-0.03076171875,0.072265625,-0.6982421875,-0.02978515625
5770665,0.0693359375,-0.69873046875,-0.0322265625,0.0693359375,-0.69873046875,-0.0322265625
5770675,0.06787109375,-0.69921875,-0.03369140625,0.06787109375,-0.69921875,-0.03369140625
5770685,0.06640625,-0.69921875,-0.03515625,0.06640625,-0.69921875,-0.03515625
5770695,0.06494140625,-0.69921875,-0.03564453125,0.06494140625,-0.69921875,-0.03564453125
5770705,0.064453125,-0.69873046875,-0.03662109375,0.064453125,-0.69873046875,-0.03662109375
5770715,0.06298828125,-0.69873046875,-0.037109375,0.06298828125,-0.69873046875,-0.037109375
5770735,0.06201171875,-0.6982421875,-0.03759765625,0.06201171875,-0.6982421875,-0.03759765625
5770745,0.060546875,-0.6962890625,-0.03759765625,0.06201171875,-0.6982421875,-0.03759765625
5770755,0.06005859375,-0.69482421875,-0.0380859375,0.060546875,-0.6962890625,-0.03759765625
5770765,0.05908203125,-0.69384765625,-0.0380859375,0.05908203125,-0.69384765625,-0.0380859375
5770775,0.05859375,-0.69189453125,-0.03759765625,0.05859375,-0.69189453125,-0.03759765625
5770785,0.05810546875,-0.68994140625,-0.03759765625,0.05810546875,-0.68994140625,-0.03759765625
5770795,0.0576171875,-0.68798828125,-0.03759765625,0.0576171875,-0.68798828125,-0.03759765625
5770805,0.05712890625,-0.6865234375,-0.03759765625,0.05712890625,-0.6865234375,-0.03759765625
5770815,0.056640625,-0.68505859375,-0.03759765625,0.056640625,-0.68505859375,-0.03759765625
5770835,0.056640625,-0.68359375,-0.0380859375,0.056640625,-0.68359375,-0.0380859375
5770845,0.0556640625,-0.68017578125,-0.03759765625,0.056640625,-0.68359375,-0.0380859375
5770855,0.0556640625,-0.6787109375,-0.0380859375,0.0556640625,-0.68017578125,-0.03759765625
5770865,0.0556640625,-0.67724609375,-0.03759765625,0.0556640625,-0.67724609375,-0.03759765625
5770875,0.05517578125,-0.67578125,-0.03759765625,0.05517578125,-0.67578125,-0.03759765625
5770885,0.0556640625,-0.6748046875,-0.03759765625,0.0556640625,-0.6748046875,-0.03759765625
5770895,0.0556640625,-0.67333984375,-0.037109375,0.0556640625,-0.67333984375,-0.037109375
5770905,0.0556640625,-0.671875,-0.03662109375,0.0556640625,-0.671875,-0.03662109375
5770915,0.05615234375,-0.6708984375,-0.03662109375,0.05615234375,-0.6708984375,-0.03662109375
5770935,0.056640625,-0.67041015625,-0.03662109375,0.056640625,-0.67041015625,-0.03662109375
5770945,0.05712890625,-0.67041015625,-0.03662109375,0.056640625,-0.67041015625,-0.03662109375
5770955,0.0576171875,-0.67041015625,-0.03662109375,0.05712890625,-0.67041015625,-0.03662109375
5770965,0.05859375,-0.67041015625,-0.03662109375,0.05859375,-0.67041015625,-0.03662109375
5770975,0.05908203125,-0.6708984375,-0.03662109375,0.05908203125,-0.6708984375,-0.03662109375
5770985,0.060546875,-0.67138671875,-0.03662109375,0.060546875,-0.67138671875,-0.03662109375
5770995,0.0615234375,-0.67236328125,-0.0361328125,0.0615234375,-0.67236328125,-0.0361328125
5771005,0.06298828125,-0.67333984375,-0.03564453125,0.06298828125,-0.67333984375,-0.03564453125
5771015,0.064453125,-0.67431640625,-0.03564453125,0.064453125,-0.67431640625,-0.03564453125
5771035,0.0654296875,-0.67578125,-0.03515625,0.0654296875,-0.67578125,-0.03515625
5771045,0.068359375,-0.677734375,-0.03369140625,0.0654296875,-0.67578125,-0.03515625
5771055,0.0703125,-0.67919921875,-0.03271484375,0.068359375,-0.677734375,-0.03369140625
5771065,0.07177734375,-0.68115234375,-0.03173828125,0.07177734375,-0.68115234375,-0.03173828125
5771075,0.0732421875,-0.6826171875,-0.03076171875,0.0732421875,-0.6826171875,-0.03076171875
5771085,0.07470703125,-0.68408203125,-0.02978515625,0.07470703125,-0.68408203125,-0.02978515625
5771095,0.07666015625,-0.685546875,-0.02880859375,0.07666015625,-0.685546875,-0.02880859375
5771105,0.078125,-0.6865234375,-0.0283203125,0.078125,-0.6865234375,-0.0283203125
5771115,0.080078125,-0.68798828125,-0.02734375,0.080078125,-0.68798828125,-0.02734375
5771135,0.08154296875,-0.68896484375,-0.02587890625,0.08154296875,-0.68896484375,-0.02587890625
5771145,0.083984375,-0.69140625,-0.02392578125,0.08154296875,-0.68896484375,-0.02587890625
5771155,0.0849609375,-0.6923828125,-0.0224609375,0.083984375,-0.69140625,-0.02392578125
5771165,0.08642578125,-0.69287109375,-0.02197265625,0.08642578125,-0.69287109375,-0.02197265625
5771175,0.0869140625,-0.69384765625,-0.0205078125,0.0869140625,-0.69384765625,-0.0205078125
5771185,0.08837890625,-0.6943359375,-0.01953125,0.08837890625,-0.6943359375,-0.01953125
5771195,0.08935546875,-0.6943359375,-0.0185546875,0.08935546875,-0.6943359375,-0.0185546875
5771205,0.09033203125,-0.69482421875,-0.017578125,0.09033203125,-0.69482421875,-0.017578125
5771215,0.09130859375,-0.69482421875,-0.0166015625,0.09130859375,-0.69482421875,-0.0166015625
5771235,0.09228515625,-0.6953125,-0.01611328125,0.09228515625,-0.6953125,-0.01611328125
5771245,0.09326171875,-0.69482421875,-0.0146484375,0.09228515625,-0.6953125,-0.01611328125
5771255,0.09375,-0.6943359375,-0.01318359375,0.09326171875,-0.69482421875,-0.0146484375
5771265,0.09423828125,-0.693359375,-0.0126953125,0.09423828125,-0.693359375,-0.0126953125
5771275,0.0947265625,-0.69287109375,-0.01220703125,0.0947265625,-0.69287109375,-0.01220703125
5771285,0.0947265625,-0.69189453125,-0.01123046875,0.0947265625,-0.69189453125,-0.01123046875
5771295,0.09521484375,-0.69091796875,-0.0107421875,0.09521484375,-0.69091796875,-0.0107421875
5771305,0.09521484375,-0.6904296875,-0.0107421875,0.09521484375,-0.6904296875,-0.0107421875
5771315,0.095703125,-0.68994140625,-0.01025390625,0.095703125,-0.68994140625,-0.01025390625
5771335,0.095703125,-0.689453125,-0.01025390625,0.095703125,-0.689453125,-0.01025390625
5771345,0.095703125,-0.68798828125,-0.00927734375,0.095703125,-0.689453125,-0.01025390625
5771355,0.09619140625,-0.6875,-0.00927734375,0.095703125,-0.68798828125,-0.00927734375
5771365,0.095703125,-0.68701171875,-0.00927734375,0.095703125,-0.68701171875,-0.00927734375
5771375,0.09619140625,-0.6865234375,-0.0087890625,0.09619140625,-0.6865234375,-0.0087890625
5771385,0.095703125,-0.685546875,-0.0087890625,0.095703125,-0.685546875,-0.0087890625
5771395,0.095703125,-0.68505859375,-0.0087890625,0.095703125,-0.68505859375,-0.0087890625
5771405,0.09521484375,-0.68408203125,-0.0087890625,0.09521484375,-0.68408203125,-0.0087890625
5771415,0.0947265625,-0.68408203125,-0.0087890625,0.0947265625,-0.68408203125,-0.0087890625
5771435,0.09423828125,-0.68408203125,-0.00927734375,0.09423828125,-0.68408203125,-0.00927734375
5771445,0.09326171875,-0.68505859375,-0.01025390625,0.09423828125,-0.68408203125,-0.00927734375
5771455,0.0927734375,-0.685546875,-0.0107421875,0.09326171875,-0.68505859375,-0.01025390625
5771465,0.091796875,-0.68603515625,-0.01171875,0.091796875,-0.68603515625,-0.01171875
5771475,0.0908203125,-0.68603515625,-0.0126953125,0.0908203125,-0.68603515625,-0.0126953125
5771485,0.09033203125,-0.6865234375,-0.01318359375,0.09033203125,-0.6865234375,-0.01318359375
5771495,0.08935546875,-0.68701171875,-0.0146484375,0.08935546875,-0.68701171875,-0.0146484375
5771505,0.087890625,-0.6875,-0.01611328125,0.087890625,-0.6875,-0.01611328125
5771515,0.0869140625,-0.6875,-0.0166015625,0.0869140625,-0.6875,-0.0166015625
5771535,0.0859375,-0.68798828125,-0.01806640625,0.0859375,-0.68798828125,-0.01806640625
5771545,0.08349609375,-0.6884765625,-0.0205078125,0.0859375,-0.68798828125,-0.01806640625
5771555,0.08203125,-0.689453125,-0.0224609375,0.08349609375,-0.6884765625,-0.0205078125
5771565,0.08056640625,-0.6904296875,-0.02392578125,0.08056640625,-0.6904296875,-0.02392578125
5771575,0.0791015625,-0.69091796875,-0.02490234375,0.0791015625,-0.69091796875,-0.02490234375
5771585,0.07763671875,-0.69140625,-0.0263671875,0.07763671875,-0.69140625,-0.0263671875
5771595,0.076171875,-0.69140625,-0.02734375,0.076171875,-0.69140625,-0.02734375
5771605,0.07470703125,-0.69189453125,-0.0283203125,0.07470703125,-0.69189453125,-0.0283203125
5771615,0.07373046875,-0.69189453125,-0.02978515625,0.07373046875,-0.69189453125,-0.02978515625
5771635,0.072265625,-0.69189453125,-0.03076171875,0.072265625,-0.69189453125,-0.03076171875
5771645,0.06982421875,-0.69091796875,-0.03271484375,0.072265625,-0.69189453125,-0.03076171875
5771655,0.068359375,-0.6904296875,-0.0341796875,0.06982421875,-0.69091796875,-0.03271484375
5771665,0.0673828125,-0.6904296875,-0.03466796875,0.0673828125,-0.6904296875,-0.03466796875
5771675,0.06640625,-0.68994140625,-0.03564453125,0.06640625,-0.68994140625,-0.03564453125
5771685,0.06494140625,-0.689453125,-0.0361328125,0.06494140625,-0.689453125,-0.0361328125
